tier,wins,losses,veteran,inactive,freshBlood,hotStreak,role,winRate,totalGames,region
CHALLENGER,113,95,False,False,False,True,Mid,54.33,208,Korea
CHALLENGER,112,102,False,False,False,True,Top,52.34,214,Korea
CHALLENGER,199,145,True,False,False,False,Bottom,57.85,344,Korea
CHALLENGER,232,174,True,False,False,False,Bottom,57.14,406,Korea
CHALLENGER,280,234,True,False,False,True,Bottom,54.47,514,Korea
CHALLENGER,179,113,True,False,False,False,Bottom,61.3,292,Korea
CHALLENGER,146,90,True,False,False,True,Top,61.86,236,Korea
CHALLENGER,135,84,True,False,False,True,Mid,61.64,219,Korea
CHALLENGER,212,157,True,False,False,True,Bottom,57.45,369,Korea
CHALLENGER,116,118,False,False,False,False,Bottom,49.57,234,Korea
CHALLENGER,194,142,True,False,False,False,Jungle,57.74,336,Korea
CHALLENGER,78,58,False,False,False,False,Bottom,57.35,136,Korea
CHALLENGER,220,167,True,False,False,False,Top,56.85,387,Korea
CHALLENGER,152,86,False,False,False,False,Jungle,63.87,238,Korea
CHALLENGER,77,72,False,False,False,False,Bottom,51.68,149,Korea
CHALLENGER,92,76,True,False,False,False,Bottom,54.76,168,Korea
CHALLENGER,104,48,False,False,False,True,Jungle,68.42,152,Korea
CHALLENGER,190,146,True,False,False,False,Mid,56.55,336,Korea
CHALLENGER,239,191,False,False,False,True,Bottom,55.58,430,Korea
CHALLENGER,224,178,True,False,False,False,Jungle,55.72,402,Korea
CHALLENGER,248,258,True,False,False,False,Jungle,49.01,506,Korea
CHALLENGER,192,147,True,False,False,False,Jungle,56.64,339,Korea
CHALLENGER,169,127,True,False,False,False,Jungle,57.09,296,Korea
CHALLENGER,129,121,True,False,False,False,Jungle,51.6,250,Korea
CHALLENGER,221,176,False,False,False,False,Bottom,55.67,397,Korea
CHALLENGER,116,111,True,False,False,False,Mid,51.1,227,Korea
CHALLENGER,145,120,True,False,False,False,Jungle,54.72,265,Korea
CHALLENGER,213,165,True,False,False,False,Jungle,56.35,378,Korea
CHALLENGER,211,158,True,False,False,False,Bottom,57.18,369,Korea
CHALLENGER,91,47,False,False,False,True,Jungle,65.94,138,Korea
CHALLENGER,142,91,True,False,False,False,Jungle,60.94,233,Korea
CHALLENGER,113,90,False,False,False,False,Bottom,55.67,203,Korea
CHALLENGER,180,146,True,False,False,True,Mid,55.21,326,Korea
CHALLENGER,122,83,True,False,False,False,Bottom,59.51,205,Korea
CHALLENGER,90,49,True,False,False,True,Jungle,64.75,139,Korea
CHALLENGER,136,93,True,False,False,False,Mid,59.39,229,Korea
CHALLENGER,210,167,False,False,False,False,Mid,55.7,377,Korea
CHALLENGER,146,109,True,False,False,False,Jungle,57.25,255,Korea
CHALLENGER,128,154,True,False,False,False,Mid,45.39,282,Korea
CHALLENGER,226,168,True,False,False,False,Top,57.36,394,Korea
CHALLENGER,123,88,True,False,False,False,Mid,58.29,211,Korea
CHALLENGER,250,196,True,False,False,False,Bottom,56.05,446,Korea
CHALLENGER,99,99,False,False,False,False,Top,50.0,198,Korea
CHALLENGER,149,113,False,False,False,True,Bottom,56.87,262,Korea
CHALLENGER,208,156,True,False,False,False,Jungle,57.14,364,Korea
CHALLENGER,202,153,True,False,False,False,Top,56.9,355,Korea
CHALLENGER,183,173,True,False,False,False,Jungle,51.4,356,Korea
CHALLENGER,228,185,True,False,False,False,Bottom,55.21,413,Korea
CHALLENGER,274,216,True,False,False,False,Bottom,55.92,490,Korea
CHALLENGER,202,161,True,False,False,False,Jungle,55.65,363,Korea
CHALLENGER,76,61,False,False,False,False,Mid,55.47,137,Korea
CHALLENGER,173,135,True,False,False,False,Bottom,56.17,308,Korea
CHALLENGER,145,110,True,False,False,False,Mid,56.86,255,Korea
CHALLENGER,149,135,True,False,False,False,Top,52.46,284,Korea
CHALLENGER,269,226,True,False,False,True,Bottom,54.34,495,Korea
CHALLENGER,140,93,True,False,False,False,Top,60.09,233,Korea
CHALLENGER,202,170,False,False,False,False,Jungle,54.3,372,Korea
CHALLENGER,125,91,True,False,False,True,Jungle,57.87,216,Korea
CHALLENGER,170,128,False,False,False,True,Mid,57.05,298,Korea
CHALLENGER,114,62,False,False,False,True,Top,64.77,176,Korea
CHALLENGER,115,81,False,False,False,False,Top,58.67,196,Korea
CHALLENGER,164,133,True,False,False,True,Bottom,55.22,297,Korea
CHALLENGER,209,175,False,False,True,False,Top,54.43,384,Korea
CHALLENGER,134,103,True,False,False,False,Bottom,56.54,237,Korea
CHALLENGER,263,174,False,False,False,False,Top,60.18,437,Korea
CHALLENGER,97,109,False,False,False,False,Bottom,47.09,206,Korea
CHALLENGER,106,110,False,False,False,False,Bottom,49.07,216,Korea
CHALLENGER,71,36,False,False,False,True,Top,66.36,107,Korea
CHALLENGER,158,122,False,False,False,True,Bottom,56.43,280,Korea
CHALLENGER,85,55,False,False,False,False,Top,60.71,140,Korea
CHALLENGER,142,102,False,False,False,False,Mid,58.2,244,Korea
CHALLENGER,83,92,False,False,False,False,Top,47.43,175,Korea
CHALLENGER,210,180,False,False,False,False,Top,53.85,390,Korea
CHALLENGER,201,168,True,False,False,False,Bottom,54.47,369,Korea
CHALLENGER,138,105,True,False,False,False,Bottom,56.79,243,Korea
CHALLENGER,318,286,True,False,False,False,Top,52.65,604,Korea
CHALLENGER,289,291,True,False,False,True,Mid,49.83,580,Korea
CHALLENGER,217,197,False,False,False,False,Mid,52.42,414,Korea
CHALLENGER,131,85,False,False,True,False,Mid,60.65,216,Korea
CHALLENGER,79,91,False,False,False,False,Jungle,46.47,170,Korea
CHALLENGER,133,87,False,False,True,False,Top,60.45,220,Korea
CHALLENGER,127,100,True,False,False,False,Top,55.95,227,Korea
CHALLENGER,101,96,False,False,False,False,Bottom,51.27,197,Korea
CHALLENGER,62,65,False,False,False,False,Mid,48.82,127,Korea
CHALLENGER,136,108,False,False,True,False,Top,55.74,244,Korea
CHALLENGER,358,323,False,False,False,False,Top,52.57,681,Korea
CHALLENGER,125,112,True,False,False,False,Jungle,52.74,237,Korea
CHALLENGER,151,123,False,False,True,False,Jungle,55.11,274,Korea
CHALLENGER,131,103,False,False,False,False,Bottom,55.98,234,Korea
CHALLENGER,116,116,False,False,False,False,Mid,50.0,232,Korea
CHALLENGER,288,252,False,False,False,False,Top,53.33,540,Korea
CHALLENGER,170,143,True,False,False,False,Bottom,54.31,313,Korea
CHALLENGER,208,174,True,False,False,False,Bottom,54.45,382,Korea
CHALLENGER,124,76,False,False,False,True,Bottom,62.0,200,Korea
CHALLENGER,307,273,False,False,False,True,Top,52.93,580,Korea
CHALLENGER,138,108,False,False,False,False,Bottom,56.1,246,Korea
CHALLENGER,120,93,True,False,False,False,Jungle,56.34,213,Korea
CHALLENGER,111,85,True,False,False,False,Jungle,56.63,196,Korea
CHALLENGER,160,129,True,False,False,False,Jungle,55.36,289,Korea
CHALLENGER,134,102,True,False,False,False,Jungle,56.78,236,Korea
CHALLENGER,111,83,False,False,True,False,Bottom,57.22,194,Korea
CHALLENGER,197,167,True,False,False,True,Bottom,54.12,364,Korea
CHALLENGER,99,59,False,False,False,False,Jungle,62.66,158,Korea
CHALLENGER,158,132,True,False,False,False,Mid,54.48,290,Korea
CHALLENGER,196,148,False,False,False,False,Bottom,56.98,344,Korea
CHALLENGER,101,59,False,False,False,False,Bottom,63.12,160,Korea
CHALLENGER,164,135,True,False,False,False,Bottom,54.85,299,Korea
CHALLENGER,227,198,False,False,True,True,Bottom,53.41,425,Korea
CHALLENGER,187,157,True,False,False,False,Bottom,54.36,344,Korea
CHALLENGER,176,145,True,False,False,False,Mid,54.83,321,Korea
CHALLENGER,158,120,True,False,False,False,Jungle,56.83,278,Korea
CHALLENGER,82,93,False,False,False,False,Mid,46.86,175,Korea
CHALLENGER,278,246,True,False,False,True,Top,53.05,524,Korea
CHALLENGER,111,79,False,False,True,True,Mid,58.42,190,Korea
CHALLENGER,75,40,False,False,True,True,Bottom,65.22,115,Korea
CHALLENGER,311,275,True,False,False,False,Bottom,53.07,586,Korea
CHALLENGER,170,140,True,False,False,False,Top,54.84,310,Korea
CHALLENGER,220,194,False,False,True,False,Jungle,53.14,414,Korea
CHALLENGER,81,52,False,False,False,False,Jungle,60.9,133,Korea
CHALLENGER,187,150,True,False,False,False,Bottom,55.49,337,Korea
CHALLENGER,208,169,True,False,False,True,Top,55.17,377,Korea
CHALLENGER,342,320,True,False,False,True,Bottom,51.66,662,Korea
CHALLENGER,337,297,True,False,False,False,Jungle,53.15,634,Korea
CHALLENGER,243,219,False,False,True,False,Bottom,52.6,462,Korea
CHALLENGER,271,241,True,False,False,False,Bottom,52.93,512,Korea
CHALLENGER,121,111,True,False,False,False,Mid,52.16,232,Korea
CHALLENGER,163,134,False,False,False,False,Jungle,54.88,297,Korea
CHALLENGER,307,265,False,False,True,False,Mid,53.67,572,Korea
CHALLENGER,149,116,False,False,True,False,Jungle,56.23,265,Korea
